Id,User Id,Mentions,Hashtags,Filtered Text,Polarity,Subjectivity,Compound Score,Cluster Label,,
1.25E+18,9.01E+17,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,9.93E+17,WOOSANlSM,,see someon make san savag edit today vlive,0,0,-0.4588,0,,
1.25E+18,1371123476,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,758582648,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,171851126,Aunty_Les,,timaya use poverti sing plantain boy peopl want compar,0,0,-0.4588,0,,
1.25E+18,1.17E+18,"toluogunlesi, followlasg",,tweet yesterday redact attack kini big deal n,0,0.1,-0.4588,0,,
1.25E+18,1353382430,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,140954375,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,9.24E+17,BaronStrucker,,f incens see video white kid endur last yr integr school,0,0.033333333,-0.4588,0,,
1.25E+18,8.60E+17,gigisdeadd,,men gf x prettier amp still audac disrespect sir go prison,0,0,-0.4588,0,,
1.25E+18,9.26E+17,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,3297884937,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.05E+18,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,7.23E+17,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,1059253758,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.21E+18,onedayseyoum,Eritrea,ciham us citizen born la imprison without trial rd birthday w,0,0,-0.4588,0,,
1.25E+18,591487844,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.11E+18,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,2369688244,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.24E+18,AngTanongKoSayo,,get jealou talk someon els instead,0,0,-0.4588,0,,
1.25E+18,2749870007,cnnbrk,,dr anthoni fauci say social distanc measur appear work stress coronaviru pandem still,0.033333333,0.066666667,-0.4588,0,,
